0,4401,4402,4404,4405,4406,4407,4408,4409,4410,4411,4412,4413,4414,4415,4416,4417,4418,4419,4420,4421,4422,4423,4424,4425,4426,4427,4428,4429,4430,4431,4432,4433,4434,4435,4436,4437,4438
4419,1,NA,0,0,-1,-2,1,0,1,1,1,-1,0,0,0,0,0,NA,2,0,0,0,-1,0,-1,0,-2,0,-1,-2,0,1,0,0,1,0,0
4420,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,1,0,2,2,NA,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1
4421,0,1,0,2,0,2,1,2,2,1,2,1,2,1,1,2,2,2,2,NA,2,2,1,1,2,0,0,0,2,0,1,2,2,2,2,1,2
4422,0,NA,0,2,0,2,1,2,0,1,1,0,1,1,1,1,1,1,0,2,NA,2,0,0,1,0,0,1,2,0,0,1,0,1,2,0,0
4423,0,0,0,2,0,2,NA,NA,0,1,0,-1,0,-1,0,2,0,1,2,2,2,NA,-1,-1,1,0,-1,0,2,-1,0,1,0,-1,0,-1,0
4424,2,2,1,0,0,0,2,0,1,1,2,NA,-1,2,1,2,0,0,1,0,1,0,2,2,2,1,0,1,0,-1,0,0,0,2,2,2,2
4425,-1,NA,0,1,0,0,0,0,0,0,1,-1,-2,0,0,0,0,0,1,0,0,0,1,2,0,2,-1,2,1,-1,0,2,0,-2,0,-1,0
4426,2,NA,2,2,0,2,2,0,1,1,2,-2,2,1,2,2,1,1,2,1,1,1,2,1,NA,0,-2,1,2,-2,2,1,0,2,1,2,1
4427,0,NA,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,NA,-2,2,0,-2,0,2,0,0,2,2,2
4428,1,1,-1,-2,1,1,1,0,0,1,1,2,2,1,-2,1,1,1,1,1,1,0,-2,-2,0,-2,NA,0,1,2,-1,-2,1,2,-2,1,0
4429,0,NA,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,NA,0,0,0,2,0,0,2,2,2
4430,0,NA,0,2,0,2,0,2,1,-2,1,-1,0,-2,0,1,-1,-2,1,2,2,2,0,0,2,0,-1,0,NA,-1,0,1,0,0,0,-2,0
4431,1,NA,-1,0,-1,0,0,-1,-2,-1,1,2,1,0,0,1,1,1,1,1,0,-2,-2,-2,-2,0,2,-1,0,NA,-1,-1,0,1,-2,1,-1
4432,0,NA,2,0,0,-1,0,0,0,1,1,-2,0,0,2,1,1,0,1,0,0,0,1,1,1,1,-2,0,0,-2,NA,1,0,0,0,-2,0
4433,0,NA,0,1,0,0,-1,-1,1,1,1,0,0,1,1,-2,0,1,1,1,0,0,0,2,0,2,-2,1,1,-2,1,2,0,-2,0,0,1
4434,0,1,-1,0,2,1,-1,-1,0,1,0,-1,0,1,0,-1,1,0,1,1,1,0,-1,1,-2,1,-1,1,1,-2,0,1,NA,0,0,0,0
4435,2,NA,0,1,0,0,1,0,0,1,1,1,2,1,0,1,0,1,2,1,0,0,2,-1,2,0,1,0,0,1,0,0,0,NA,1,0,0
4436,1,1,0,1,0,0,1,0,2,1,1,-1,1,1,0,1,1,2,1,1,1,0,1,0,0,1,-1,1,0,-1,0,0,0,0,NA,1,2
4437,-1,2,-1,-1,-1,NA,0,1,1,2,-1,-1,-1,2,0,2,0,1,2,-1,-1,-1,1,1,2,2,1,2,1,-2,-1,0,0,0,1,2,2
4438,0,1,-1,0,0,-2,2,1,2,1,2,-2,1,1,0,2,-2,-1,-1,0,-1,-1,0,0,0,2,-2,2,-1,-2,-1,0,-1,-2,2,2,NA
