6219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6220,0,2,1,1,0,1,0,0,2,0,2,0,0,0,-1,2,1,0,0,NA,2,0,-1,-1,0,1,2,0,0,0,0,-1,1,0,0,-1
6221,1,1,1,1,1,1,0,0,-1,-1,2,-1,-1,0,0,2,1,2,1,2,0,1,-1,-1,0,0,-1,0,0,-1,-1,-1,1,0,-1,-1
6222,2,1,0,0,0,1,0,1,0,1,0,0,1,1,-2,0,0,0,2,0,0,NA,-1,-1,-1,1,0,1,0,1,0,-1,1,1,0,0
6223,-1,0,-1,0,2,0,0,-1,1,0,0,-1,1,0,2,-1,1,0,0,0,-2,1,2,-2,2,0,0,-1,2,0,2,2,-1,1,2,2
6224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6225,1,1,2,2,1,2,2,0,1,0,1,-1,0,0,1,1,1,2,1,1,1,0,1,1,NA,1,1,1,1,1,1,1,1,1,1,1
6226,1,1,1,1,1,1,1,0,2,0,1,1,0,0,-1,0,1,1,1,1,0,1,-1,2,1,NA,0,2,1,2,1,-1,1,-1,1,1
6227,1,1,1,1,0,2,2,0,2,0,2,0,0,0,-1,2,1,1,0,2,2,1,-1,0,2,1,NA,0,0,0,0,-1,2,0,0,-1
6228,0,2,2,1,1,1,1,1,1,0,0,2,0,0,-1,0,2,0,1,1,-1,1,0,0,1,2,0,0,1,2,2,-1,2,2,2,0
6229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6230,1,1,1,1,1,1,1,0,1,0,0,2,0,0,0,0,1,0,1,0,0,1,1,2,2,1,1,2,1,NA,2,1,1,1,2,1
6231,1,1,1,2,2,1,0,1,1,0,0,1,0,0,2,0,1,1,1,1,0,0,2,1,1,2,0,1,2,2,2,2,2,0,2,2
6232,0,0,0,1,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,2,NA,0,-2,2,2
6233,1,1,1,1,2,2,2,0,2,0,1,1,0,0,0,1,0,1,1,1,2,2,0,0,1,0,1,1,1,1,1,0,NA,1,2,0
6234,0,2,1,1,-1,2,1,-2,2,-2,-2,-2,-2,-2,-2,1,-1,-1,-2,1,0,-2,-2,-2,1,-1,-1,-1,-2,-2,-2,-2,1,NA,-2,-1
6260,1,1,0,2,2,1,0,0,1,0,0,2,0,0,2,0,2,1,0,0,0,0,2,0,1,1,0,2,1,1,2,2,1,0,NA,1
6261,0,0,-1,1,1,0,0,0,0,0,0,-1,0,0,2,-1,0,0,-1,0,-1,-2,2,2,0,0,-1,-1,2,0,0,2,-1,0,0,2
